"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Corey Brewer, James Harden, Josh Smith, Pablo Prigioni, Trevor Ariza","HOU",10,227,58,3
"Courtney Lee, Marc Gasol, Nick Calathes, Tony Allen, Zach Randolph","MEM",10,3382,59,56
"Dennis Schroder, Kyle Korver, Mike Muscala, Mike Scott, Shelvin Mack","ATL",10,207,60,3
"James Jones, JR Smith, LeBron James, Matthew Dellavedova, Timofey Mozgov","CLE",10,599,61,9
"Amir Johnson, DeMar DeRozan, Greivis Vasquez, Jonas Valanciunas, Lou Williams","TOR",9,223,62,3
"Andre Iguodala, David Lee, Klay Thompson, Leandro Barbosa, Stephen Curry","GSW",9,521,63,8
"Avery Bradley, Evan Turner, Jae Crowder, Jonas Jerebko, Tyler Zeller","BOS",9,888,64,14
"Bradley Beal, Drew Gooden, John Wall, Marcin Gortat, Paul Pierce","WAS",9,510,65,8
"Clint Capela, James Harden, Pablo Prigioni, Terrence Jones, Trevor Ariza","HOU",9,447,66,7
"Courtney Lee, Marc Gasol, Mike Conley, Vince Carter, Zach Randolph","MEM",9,878,67,14
"Derrick Rose, Jimmy Butler, Joakim Noah, Taj Gibson, Tony Snell","CHI",9,942,68,15
"Doug McDermott, E'Twaun Moore, Nazr Mohammed, Nikola Mirotic, Tony Snell","CHI",9,465,69,7
"Draymond Green, Festus Ezeli, Klay Thompson, Leandro Barbosa, Shaun Livingston","GSW",9,229,70,3
"Al Horford, DeMarre Carroll, Dennis Schroder, Kent Bazemore, Pero Antic","ATL",8,453,71,7
"Al Horford, Dennis Schroder, Kyle Korver, Pero Antic, Shelvin Mack","ATL",8,196,72,3
"Andre Iguodala, Draymond Green, Festus Ezeli, Leandro Barbosa, Stephen Curry","GSW",8,1224,73,20
"Andrew Bogut, David Lee, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",8,453,74,7
"Austin Rivers, Dahntay Jones, Ekpe Udoh, Lester Hudson, Spencer Hawes","LAC",8,289,75,4
"Blake Griffin, DeAndre Jordan, Jamal Crawford, JJ Redick, Matt Barnes","LAC",8,1351,76,22
"Boris Diaw, Manu Ginobili, Marco Belinelli, Patty Mills, Tim Duncan","SAS",8,308,77,5
"Clint Capela, Corey Brewer, James Harden, Jason Terry, Josh Smith","HOU",8,376,78,6
"Danny Green, Marco Belinelli, Patty Mills, Tiago Splitter, Tim Duncan","SAS",8,161,79,2
"DeMar DeRozan, Jonas Valanciunas, Kyle Lowry, Lou Williams, Patrick Patterson","TOR",8,152,80,2
"Draymond Green, Festus Ezeli, Klay Thompson, Shaun Livingston, Stephen Curry","GSW",8,220,81,3
"Draymond Green, Harrison Barnes, Klay Thompson, Marreese Speights, Stephen Curry","GSW",8,183,82,3
"Drew Gooden, John Wall, Marcin Gortat, Otto Porter Jr., Ramon Sessions","WAS",8,1230,83,20
"James Jones, Kendrick Perkins, Kyrie Irving, LeBron James, Matthew Dellavedova","CLE",8,113,84,1
"Alan Anderson, Bojan Bogdanovic, Deron Williams, Jarrett Jack, Thaddeus Young","BKN",7,253,85,4
"Alan Anderson, Brook Lopez, Deron Williams, Jarrett Jack, Joe Johnson","BKN",7,947,86,15
"Andre Iguodala, Draymond Green, Harrison Barnes, Shaun Livingston, Stephen Curry","GSW",7,1030,87,17
"Andre Iguodala, Draymond Green, Leandro Barbosa, Marreese Speights, Shaun Livingston","GSW",7,589,88,9
"Anthony Davis, Dante Cunningham, Eric Gordon, Ryan Anderson, Tyreke Evans","NOP",7,639,89,10
"Chris Paul, DeAndre Jordan, Glen Davis, Jamal Crawford, JJ Redick","LAC",7,219,90,3
"Courtney Lee, Jeff Green, Marc Gasol, Nick Calathes, Zach Randolph","MEM",7,534,91,8
"DeAndre Jordan, Hedo Turkoglu, Jamal Crawford, JJ Redick, Lester Hudson","LAC",7,183,92,3
"Dwight Howard, James Harden, Jason Terry, Josh Smith, Trevor Ariza","HOU",7,9589,93,159
"Iman Shumpert, James Jones, JR Smith, LeBron James, Matthew Dellavedova","CLE",7,431,94,7
"Iman Shumpert, James Jones, Kyrie Irving, Matthew Dellavedova, Tristan Thompson","CLE",7,88,95,1
"Iman Shumpert, JR Smith, Kevin Love, LeBron James, Tristan Thompson","CLE",7,53,96,0
"James Jones, JR Smith, Kyrie Irving, LeBron James, Tristan Thompson","CLE",7,828,97,13
"Jared Dudley, Jerryd Bayless, Khris Middleton, O.J. Mayo, Zaza Pachulia","MIL",7,517,98,8
"Jared Dudley, Jerryd Bayless, Miles Plumlee, O.J. Mayo, Tyler Ennis","MIL",7,263,99,4
"Jeff Green, Kosta Koufos, Mike Conley, Nick Calathes, Vince Carter","MEM",7,272,100,4
"John Jenkins, Mike Muscala, Mike Scott, Pero Antic, Shelvin Mack","ATL",7,293,101,4
"JR Smith, Kyrie Irving, LeBron James, Matthew Dellavedova, Timofey Mozgov","CLE",7,246,102,4
"Kawhi Leonard, Marco Belinelli, Matt Bonner, Tim Duncan, Tony Parker","SAS",7,208,103,3
"Aaron Brooks, Doug McDermott, Nazr Mohammed, Nikola Mirotic, Tony Snell","CHI",6,108,104,1
"Aaron Brooks, Kirk Hinrich, Nazr Mohammed, Nikola Mirotic, Tony Snell","CHI",6,195,105,3
"Alan Anderson, Bojan Bogdanovic, Brook Lopez, Deron Williams, Jarrett Jack","BKN",6,90,106,1
"Andrew Bogut, Harrison Barnes, Klay Thompson, Leandro Barbosa, Stephen Curry","GSW",6,186,107,3
"Anthony Davis, Dante Cunningham, Norris Cole, Quincy Pondexter, Tyreke Evans","NOP",6,344,108,5
"Austin Rivers, Blake Griffin, Chris Paul, Glen Davis, Jamal Crawford","LAC",6,993,109,16
"Avery Bradley, Brandon Bass, Evan Turner, Isaiah Thomas, Kelly Olynyk","BOS",6,134,110,2
"Blake Griffin, Chris Paul, Glen Davis, Jamal Crawford, JJ Redick","LAC",6,392,111,6
"Blake Griffin, Chris Paul, Glen Davis, Jamal Crawford, Matt Barnes","LAC",6,187,112,3
"Blake Griffin, DeAndre Jordan, Jamal Crawford, JJ Redick, Lester Hudson","LAC",6,185,113,3
"Boris Diaw, Danny Green, Manu Ginobili, Matt Bonner, Patty Mills","SAS",6,228,114,3
"Chris Kaman, CJ McCollum, Damian Lillard, Nicolas Batum, Robin Lopez","POR",6,139,115,2
"Corey Brewer, Dwight Howard, James Harden, Pablo Prigioni, Trevor Ariza","HOU",6,962,116,16
"Corey Brewer, James Harden, Jason Terry, Josh Smith, Trevor Ariza","HOU",6,192,117,3
"Corey Brewer, James Harden, Josh Smith, Pablo Prigioni, Terrence Jones","HOU",6,723,118,12
"Courtney Lee, Marc Gasol, Nick Calathes, Vince Carter, Zach Randolph","MEM",6,138,119,2
"David Lee, Festus Ezeli, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",6,101,120,1
"DeMarre Carroll, Jeff Teague, Mike Scott, Paul Millsap, Shelvin Mack","ATL",6,488,121,8
"Derrick Rose, Joakim Noah, Kirk Hinrich, Mike Dunleavy, Nikola Mirotic","CHI",6,210,122,3
"Iman Shumpert, JR Smith, Matthew Dellavedova, Timofey Mozgov, Tristan Thompson","CLE",6,96,123,1
