Rk,Lineup,Lineup_2,Lineup_3,Lineup_4,Lineup_5,Tm,Season,G,MP,TM,OPP,Pace,FG,FGA,FG%,3P,3PA,3P%,EFG%,FT,FTA,FT%,PTS%
6701,L. Allen,C. Copeland,D. Rudez,D. Sloan,S. Whittington,IND,2014-15,3,14.2,28,28,94.9,2,0,0.08,-1,-3,-0.028,0.06,-3,-6,0.161,0
6702,I. Mahinmi,C. Miles,D. Rudez,C. Watson,S. Whittington,IND,2014-15,1,0.8,1,1,61.3,0,0,0,0,0,0,0,0,0,0,0
6703,T. Allen,V. Carter,M. Conley,K. Koufos,C. Lee,MEM,2014-15,1,0.6,1,1,77.8,0,0,0,0,0,0,0,0,0,0,0
6704,J. Barea,T. Chandler,D. Harris,R. Jefferson,D. Powell,DAL,2014-15,1,0.8,1,2,93.9,0,0,0,0,0,0,0,0,0,0,0
6705,J. Barea,R. Felton,D. Powell,G. Smith,C. Villanueva,DAL,2014-15,1,4.4,9,9,97.8,0,-1,0.071,0,2,0,0.071,0,-2,0.5,0
6706,J. Barea,D. Harris,R. Jefferson,D. Powell,G. Smith,DAL,2014-15,1,1.4,2,2,71.1,0,1,-0.167,0,-1,-0.167,-0.167,0,0,0,0
6707,A. Bennett,T. Daniels,G. Dieng,Z. LaVine,G. Robinson,MIN,2014-15,1,4.4,9,9,97.8,0,1,-0.071,0,-2,0,-0.071,0,2,-0.5,0
6708,C. Budinger,T. Daniels,N. Pekovic,M. Williams,T. Young,MIN,2014-15,1,0.5,1,0,45,0,3,0,0,1,0,0,0,0,0,0
6709,F. Aldemir,M. Carter-Williams,R. Covington,J. Sampson,H. Sims,PHI,2014-15,1,1.1,2,3,109.1,0,1,-0.167,1,1,0,0,-1,-2,0,0
6710,M. Carter-Williams,L. Drew,J. Grant,M. Thomas,H. Thompson,PHI,2014-15,1,0.8,2,2,115.2,0,0,0,0,2,0,0,0,0,0,0
6711,L. Drew,J. Grant,J. Sampson,M. Thomas,H. Thompson,PHI,2014-15,1,2.2,4,4,88.6,1,-1,0.417,1,1,0.5,0.583,-3,-3,0,0
6712,S. Adams,N. Collison,A. Morrow,D. Waiters,R. Westbrook,OKC,2014-15,6,11.3,24,21,95.7,-1,7,-0.253,2,3,-0.036,-0.238,0,3,-0.333,0
6713,B. Beal,N. HilÃ¡rio,A. Miller,P. Pierce,J. Wall,WAS,2014-15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6714,M. Bonner,T. Duncan,M. Ginóbili,K. Leonard,P. Mills,SAS,2014-15,1,0.3,1,0,84.7,0,2,0,0,0,0,0,0,0,0,0
6715,B. Diaw,D. Green,C. Joseph,P. Mills,J. Ayres,SAS,2014-15,1,1,3,2,124.1,-1,-1,-0.5,0,0,-0.5,-0.5,2,0,1,0
6716,J. Bayless,J. Henson,O. Mayo,K. Middleton,J. O'Bryant,MIL,2014-15,4,9.7,19,22,101.1,1,2,0.015,1,-4,0.5,0.038,-3,-6,0,0
6717,B. Bass,A. Bradley,K. Olynyk,T. Prince,M. Smart,BOS,2014-15,1,1.8,4,3,92.5,0,2,-0.25,0,-1,-0.25,-0.25,0,0,0,0
6718,B. Bass,A. Bradley,T. Prince,M. Smart,E. Turner,BOS,2014-15,2,0.2,0,1,110.8,0,-2,0,0,-1,0,0,0,0,0,0
6719,S. Blake,V. Claver,M. Leonard,W. Matthews,C. McCollum,POR,2014-15,1,1.8,3,4,92.5,0,-2,0.25,0,1,0.25,0.25,0,0,0,0
6720,K. Olynyk,T. Prince,J. Sullinger,M. Thornton,E. Turner,BOS,2014-15,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6721,K. Bazemore,D. Carroll,K. Korver,D. Schröder,T. Sefolosha,ATL,2014-15,1,0.1,0,1,360,0,-1,0,0,-1,0,0,0,0,0,0
6722,S. Ibaka,R. Jackson,K. Perkins,D. Waiters,R. Westbrook,OKC,2014-15,2,4.3,10,10,112.9,1,2,0,0,-1,0,0,-2,-3,0.2,0
6723,M. Ellis,D. Harris,D. Nowitzki,C. Parsons,D. Powell,DAL,2014-15,1,2.8,5,6,95.4,0,0,0,0,0,0,0,0,0,0,0
