"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Andre Drummond, Brandon Jennings, Caron Butler, Greg Monroe, Kentavious Caldwell-Pope","DET",29,2635,81,43
"Arron Afflalo, CJ McCollum, Meyers Leonard, Robin Lopez, Steve Blake","POR",29,1578,82,26
"Chandler Parsons, Devin Harris, Dirk Nowitzki, Monta Ellis, Tyson Chandler","DAL",29,8283,83,138
"Channing Frye, Evan Fournier, Kyle O'Quinn, Tobias Harris, Victor Oladipo","ORL",29,4983,84,83
"Dwight Howard, James Harden, Kostas Papanikolaou, Patrick Beverley, Trevor Ariza","HOU",29,1731,85,28
"Jared Dudley, Jerryd Bayless, Khris Middleton, O.J. Mayo, Zaza Pachulia","MIL",29,2054,86,34
"KJ McDaniels, Luc Mbah a Moute, Michael Carter-Williams, Nerlens Noel, Robert Covington","PHI",29,9127,87,152
"Anthony Morrow, D.J. Augustin, Dion Waiters, Mitch McGary, Nick Collison","OKC",28,3753,88,62
"Corey Brewer, Donatas Motiejunas, James Harden, Jason Terry, Josh Smith","HOU",28,3027,89,50
"Corey Brewer, James Harden, Jason Terry, Joey Dorsey, Josh Smith","HOU",28,1574,90,26
"Dewayne Dedmon, Elfrid Payton, Maurice Harkless, Tobias Harris, Victor Oladipo","ORL",28,1652,91,27
"Dion Waiters, Kevin Love, Kyrie Irving, LeBron James, Tristan Thompson","CLE",28,3735,92,62
"Ersan Ilyasova, Khris Middleton, Michael Carter-Williams, O.J. Mayo, Zaza Pachulia","MIL",28,2271,93,37
"Jared Dudley, Jerryd Bayless, John Henson, Khris Middleton, O.J. Mayo","MIL",28,4437,94,73
"Kevin Love, Kyrie Irving, LeBron James, Matthew Dellavedova, Tristan Thompson","CLE",28,3173,95,52
"Aaron Brooks, Joakim Noah, Kirk Hinrich, Nikola Mirotic, Tony Snell","CHI",27,2080,96,34
"Andre Drummond, Anthony Tolliver, D.J. Augustin, Jodie Meeks, Kyle Singler","DET",27,1529,97,25
"Chris Paul, DeAndre Jordan, Glen Davis, Jamal Crawford, JJ Redick","LAC",27,1274,98,21
"DeMarre Carroll, Elton Brand, Jeff Teague, Kyle Korver, Paul Millsap","ATL",27,1804,99,30
"Derrick Rose, Joakim Noah, Mike Dunleavy, Pau Gasol, Tony Snell","CHI",27,2264,100,37
"Iman Shumpert, Kevin Love, LeBron James, Matthew Dellavedova, Tristan Thompson","CLE",27,1573,101,26
"Avery Bradley, Jared Sullinger, Jeff Green, Rajon Rondo, Tyler Zeller","BOS",26,8676,102,144
