"idGame","slugTeam","lineup","lineupStint","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"41400101","ATL","Al Horford, Jeff Teague, Kent Bazemore, Kyle Korver, Mike Scott",18,55,45,55,45,1383,1433,0,0,0,50
"41400101","BKN","Alan Anderson, Deron Williams, Jarrett Jack, Mason Plumlee, Thaddeus Young",18,75,84,75,84,2487,2487,0,0,0,0
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Mike Scott",19,55,45,55,45,1433,1440,0,0,0,7
"41400101","BKN","Deron Williams, Jarrett Jack, Joe Johnson, Mason Plumlee, Thaddeus Young",19,75,84,77,84,2487,2528,2,0,2,41
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",20,55,45,62,54,1440,1794,7,9,-2,354
"41400101","BKN","Brook Lopez, Deron Williams, Jarrett Jack, Joe Johnson, Thaddeus Young",20,77,84,77,84,2528,2528,0,0,0,0
"41400101","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kyle Korver, Paul Millsap",21,62,54,65,54,1794,1850,3,0,3,56
"41400101","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",21,77,84,92,97,2528,2867,15,13,2,339
"41400101","ATL","DeMarre Carroll, Dennis Schroder, Kyle Korver, Paul Millsap, Pero Antic",22,65,54,65,54,1850,1850,0,0,0,0
"41400101","BKN","Alan Anderson, Bojan Bogdanovic, Deron Williams, Joe Johnson, Thaddeus Young",22,92,97,92,99,2867,2869,0,2,-2,2
"41400101","ATL","DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap, Pero Antic",23,65,54,72,58,1850,2013,7,4,3,163
"41400101","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson",23,92,99,92,99,2869,2880,0,0,0,11
"41400101","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kent Bazemore, Pero Antic",24,72,58,72,58,2013,2013,0,0,0,0
"41400101","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Pero Antic",25,72,58,74,62,2013,2160,2,4,-2,147
"41400101","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott",26,74,62,77,64,2160,2230,3,2,1,70
"41400101","ATL","Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott, Pero Antic",27,77,64,84,70,2230,2348,7,6,1,118
"41400101","ATL","Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott, Paul Millsap",28,84,70,84,70,2348,2364,0,0,0,16
"41400101","ATL","Dennis Schroder, Jeff Teague, Kyle Korver, Mike Scott, Paul Millsap",29,84,70,84,77,2364,2528,0,7,-7,164
"41400101","ATL","Al Horford, Dennis Schroder, Jeff Teague, Kyle Korver, Paul Millsap",30,84,77,84,77,2528,2528,0,0,0,0
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",31,84,77,86,77,2528,2564,2,0,2,36
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kent Bazemore, Paul Millsap",32,86,77,88,83,2564,2671,2,6,-4,107
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",33,88,83,93,83,2671,2706,5,0,5,35
"41400101","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kyle Korver, Paul Millsap",34,93,83,93,87,2706,2757,0,4,-4,51
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",35,93,87,97,92,2757,2854,4,5,-1,97
"41400101","ATL","Al Horford, DeMarre Carroll, Kent Bazemore, Kyle Korver, Paul Millsap",36,97,92,97,92,2854,2867,0,0,0,13
"41400101","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",37,97,92,99,92,2867,2880,2,0,2,13
"41400102","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",0,0,0,19,11,0,346,19,11,8,346
