"idGame","numberPeriod","timeQuarter","secsPassedGame","slugTeamPlayer","playerOut","playerIn","numberEvent","lineupBefore","lineupAfter","slugTeamLocation"
41400235,4,"03:43",2657,"LAC","Matt Barnes","Lester Hudson",480,"JJ Redick, Chris Paul, Blake Griffin, Matt Barnes, Jamal Crawford","JJ Redick, Chris Paul, Blake Griffin, Jamal Crawford, Lester Hudson","Away"
41400235,4,"03:43",2657,"LAC","Blake Griffin","Austin Rivers",481,"JJ Redick, Chris Paul, Blake Griffin, Jamal Crawford, Lester Hudson","JJ Redick, Chris Paul, Jamal Crawford, Lester Hudson, Austin Rivers","Away"
41400235,4,"03:43",2657,"LAC","JJ Redick","Spencer Hawes",482,"JJ Redick, Chris Paul, Jamal Crawford, Lester Hudson, Austin Rivers","Chris Paul, Jamal Crawford, Lester Hudson, Austin Rivers, Spencer Hawes","Away"
41400235,4,"03:43",2657,"LAC","Chris Paul","Hedo Turkoglu",483,"Chris Paul, Jamal Crawford, Lester Hudson, Austin Rivers, Spencer Hawes","Jamal Crawford, Lester Hudson, Austin Rivers, Spencer Hawes, Hedo Turkoglu","Away"
41400235,4,"01:45",2775,"LAC","Hedo Turkoglu","Dahntay Jones",498,"Jamal Crawford, Lester Hudson, Austin Rivers, Spencer Hawes, Hedo Turkoglu","Jamal Crawford, Lester Hudson, Austin Rivers, Spencer Hawes, Dahntay Jones","Away"
41400235,4,"01:45",2775,"HOU","Trevor Ariza","Nick Johnson",499,"James Harden, Jason Terry, Corey Brewer, Terrence Jones, Trevor Ariza","James Harden, Jason Terry, Corey Brewer, Terrence Jones, Nick Johnson","Home"
41400235,4,"01:45",2775,"HOU","James Harden","Clint Capela",500,"James Harden, Jason Terry, Corey Brewer, Terrence Jones, Nick Johnson","Jason Terry, Corey Brewer, Terrence Jones, Nick Johnson, Clint Capela","Home"
41400235,4,"01:45",2775,"HOU","Jason Terry","Kostas Papanikolaou",501,"Jason Terry, Corey Brewer, Terrence Jones, Nick Johnson, Clint Capela","Corey Brewer, Terrence Jones, Nick Johnson, Clint Capela, Kostas Papanikolaou","Home"
41400235,4,"01:45",2775,"HOU","Terrence Jones","Joey Dorsey",502,"Corey Brewer, Terrence Jones, Nick Johnson, Clint Capela, Kostas Papanikolaou","Corey Brewer, Nick Johnson, Clint Capela, Kostas Papanikolaou, Joey Dorsey","Home"
41400235,4,"01:45",2775,"LAC","Jamal Crawford","Hedo Turkoglu",503,"Jamal Crawford, Lester Hudson, Austin Rivers, Spencer Hawes, Dahntay Jones","Lester Hudson, Austin Rivers, Spencer Hawes, Dahntay Jones, Hedo Turkoglu","Away"
41400236,1,"05:51",369,"HOU","Josh Smith","Terrence Jones",50,"Dwight Howard, James Harden, Jason Terry, Josh Smith, Trevor Ariza","Dwight Howard, James Harden, Jason Terry, Trevor Ariza, Terrence Jones","Away"
41400236,1,"04:41",439,"HOU","Trevor Ariza","Corey Brewer",63,"Dwight Howard, James Harden, Jason Terry, Trevor Ariza, Terrence Jones","Dwight Howard, James Harden, Jason Terry, Terrence Jones, Corey Brewer","Away"
41400236,1,"04:41",439,"HOU","Jason Terry","Pablo Prigioni",64,"Dwight Howard, James Harden, Jason Terry, Terrence Jones, Corey Brewer","Dwight Howard, James Harden, Terrence Jones, Corey Brewer, Pablo Prigioni","Away"
41400236,1,"03:32",508,"HOU","Dwight Howard","Trevor Ariza",76,"Dwight Howard, James Harden, Terrence Jones, Corey Brewer, Pablo Prigioni","James Harden, Terrence Jones, Corey Brewer, Pablo Prigioni, Trevor Ariza","Away"
41400236,1,"02:38",562,"LAC","Matt Barnes","Jamal Crawford",88,"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Matt Barnes","Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Jamal Crawford","Home"
41400236,1,"02:38",562,"LAC","DeAndre Jordan","Glen Davis",89,"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Jamal Crawford","Blake Griffin, Chris Paul, JJ Redick, Jamal Crawford, Glen Davis","Home"
41400236,1,"02:07",593,"LAC","JJ Redick","Austin Rivers",97,"Blake Griffin, Chris Paul, JJ Redick, Jamal Crawford, Glen Davis","Blake Griffin, Chris Paul, Jamal Crawford, Glen Davis, Austin Rivers","Home"
41400236,1,"00:56",664,"HOU","James Harden","Dwight Howard",110,"James Harden, Terrence Jones, Corey Brewer, Pablo Prigioni, Trevor Ariza","Terrence Jones, Corey Brewer, Pablo Prigioni, Trevor Ariza, Dwight Howard","Away"
41400236,1,"00:34",686,"LAC","Chris Paul","Matt Barnes",116,"Blake Griffin, Chris Paul, Jamal Crawford, Glen Davis, Austin Rivers","Blake Griffin, Jamal Crawford, Glen Davis, Austin Rivers, Matt Barnes","Home"
41400236,1,"00:06",714,"HOU","Dwight Howard","Clint Capela",122,"Terrence Jones, Corey Brewer, Pablo Prigioni, Trevor Ariza, Dwight Howard","Terrence Jones, Corey Brewer, Pablo Prigioni, Trevor Ariza, Clint Capela","Away"
41400236,1,"00:06",714,"LAC","Glen Davis","Chris Paul",123,"Blake Griffin, Jamal Crawford, Glen Davis, Austin Rivers, Matt Barnes","Blake Griffin, Jamal Crawford, Austin Rivers, Matt Barnes, Chris Paul","Home"
41400236,1,"00:06",714,"HOU","Terrence Jones","Jason Terry",124,"Terrence Jones, Corey Brewer, Pablo Prigioni, Trevor Ariza, Clint Capela","Corey Brewer, Pablo Prigioni, Trevor Ariza, Clint Capela, Jason Terry","Away"
41400236,2,"11:06",774,"LAC","Glen Davis","Spencer Hawes",139,"Austin Rivers, DeAndre Jordan, Glen Davis, Jamal Crawford, Matt Barnes","Austin Rivers, DeAndre Jordan, Jamal Crawford, Matt Barnes, Spencer Hawes","Home"
41400236,2,"08:25",935,"HOU","Corey Brewer","Jason Terry",162,"Corey Brewer, Dwight Howard, Pablo Prigioni, Terrence Jones, Trevor Ariza","Dwight Howard, Pablo Prigioni, Terrence Jones, Trevor Ariza, Jason Terry","Away"
41400236,2,"08:25",935,"HOU","Pablo Prigioni","James Harden",163,"Dwight Howard, Pablo Prigioni, Terrence Jones, Trevor Ariza, Jason Terry","Dwight Howard, Terrence Jones, Trevor Ariza, Jason Terry, James Harden","Away"
41400236,2,"08:25",935,"LAC","Spencer Hawes","Blake Griffin",164,"Austin Rivers, DeAndre Jordan, Jamal Crawford, Matt Barnes, Spencer Hawes","Austin Rivers, DeAndre Jordan, Jamal Crawford, Matt Barnes, Blake Griffin","Home"
41400236,2,"07:56",964,"LAC","Austin Rivers","Chris Paul",170,"Austin Rivers, DeAndre Jordan, Jamal Crawford, Matt Barnes, Blake Griffin","DeAndre Jordan, Jamal Crawford, Matt Barnes, Blake Griffin, Chris Paul","Home"
41400236,2,"07:56",964,"HOU","Terrence Jones","Josh Smith",171,"Dwight Howard, Terrence Jones, Trevor Ariza, Jason Terry, James Harden","Dwight Howard, Trevor Ariza, Jason Terry, James Harden, Josh Smith","Away"
41400236,2,"06:41",1039,"HOU","Dwight Howard","Clint Capela",181,"Dwight Howard, Trevor Ariza, Jason Terry, James Harden, Josh Smith","Trevor Ariza, Jason Terry, James Harden, Josh Smith, Clint Capela","Away"
41400236,2,"06:41",1039,"LAC","Jamal Crawford","JJ Redick",182,"DeAndre Jordan, Jamal Crawford, Matt Barnes, Blake Griffin, Chris Paul","DeAndre Jordan, Matt Barnes, Blake Griffin, Chris Paul, JJ Redick","Home"
41400236,2,"04:49",1151,"LAC","Matt Barnes","Jamal Crawford",204,"DeAndre Jordan, Matt Barnes, Blake Griffin, Chris Paul, JJ Redick","DeAndre Jordan, Blake Griffin, Chris Paul, JJ Redick, Jamal Crawford","Home"
41400236,2,"02:43",1277,"HOU","Josh Smith","Dwight Howard",221,"Trevor Ariza, Jason Terry, James Harden, Josh Smith, Clint Capela","Trevor Ariza, Jason Terry, James Harden, Clint Capela, Dwight Howard","Away"
41400236,2,"02:43",1277,"HOU","Clint Capela","Terrence Jones",222,"Trevor Ariza, Jason Terry, James Harden, Clint Capela, Dwight Howard","Trevor Ariza, Jason Terry, James Harden, Dwight Howard, Terrence Jones","Away"
41400236,2,"02:00",1320,"HOU","Dwight Howard","Clint Capela",229,"Trevor Ariza, Jason Terry, James Harden, Dwight Howard, Terrence Jones","Trevor Ariza, Jason Terry, James Harden, Terrence Jones, Clint Capela","Away"
41400236,2,"01:59",1321,"HOU","Clint Capela","Dwight Howard",233,"Trevor Ariza, Jason Terry, James Harden, Terrence Jones, Clint Capela","Trevor Ariza, Jason Terry, James Harden, Terrence Jones, Dwight Howard","Away"
41400236,2,"01:12",1368,"LAC","DeAndre Jordan","Matt Barnes",250,"DeAndre Jordan, Blake Griffin, Chris Paul, JJ Redick, Jamal Crawford","Blake Griffin, Chris Paul, JJ Redick, Jamal Crawford, Matt Barnes","Home"
41400236,2,"01:12",1368,"HOU","Dwight Howard","Corey Brewer",251,"Trevor Ariza, Jason Terry, James Harden, Terrence Jones, Dwight Howard","Trevor Ariza, Jason Terry, James Harden, Terrence Jones, Corey Brewer","Away"
41400236,3,"06:15",1785,"HOU","Jason Terry","Pablo Prigioni",313,"Dwight Howard, James Harden, Jason Terry, Josh Smith, Trevor Ariza","Dwight Howard, James Harden, Josh Smith, Trevor Ariza, Pablo Prigioni","Away"
41400236,3,"06:15",1785,"HOU","Josh Smith","Terrence Jones",314,"Dwight Howard, James Harden, Josh Smith, Trevor Ariza, Pablo Prigioni","Dwight Howard, James Harden, Trevor Ariza, Pablo Prigioni, Terrence Jones","Away"
41400236,3,"03:18",1962,"HOU","Trevor Ariza","Corey Brewer",346,"Dwight Howard, James Harden, Trevor Ariza, Pablo Prigioni, Terrence Jones","Dwight Howard, James Harden, Pablo Prigioni, Terrence Jones, Corey Brewer","Away"
41400236,3,"03:04",1976,"LAC","Matt Barnes","Jamal Crawford",350,"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Matt Barnes","Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Jamal Crawford","Home"
41400236,3,"02:16",2024,"LAC","Chris Paul","Austin Rivers",361,"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Jamal Crawford","Blake Griffin, DeAndre Jordan, JJ Redick, Jamal Crawford, Austin Rivers","Home"
41400236,3,"01:33",2067,"HOU","James Harden","Trevor Ariza",371,"Dwight Howard, James Harden, Pablo Prigioni, Terrence Jones, Corey Brewer","Dwight Howard, Pablo Prigioni, Terrence Jones, Corey Brewer, Trevor Ariza","Away"
41400236,3,"01:16",2084,"LAC","DeAndre Jordan","Glen Davis",376,"Blake Griffin, DeAndre Jordan, JJ Redick, Jamal Crawford, Austin Rivers","Blake Griffin, JJ Redick, Jamal Crawford, Austin Rivers, Glen Davis","Home"
41400236,3,"01:04",2096,"LAC","JJ Redick","Chris Paul",381,"Blake Griffin, JJ Redick, Jamal Crawford, Austin Rivers, Glen Davis","Blake Griffin, Jamal Crawford, Austin Rivers, Glen Davis, Chris Paul","Home"
41400236,4,"11:33",2187,"HOU","Pablo Prigioni","Jason Terry",396,"Corey Brewer, Dwight Howard, Pablo Prigioni, Terrence Jones, Trevor Ariza","Corey Brewer, Dwight Howard, Terrence Jones, Trevor Ariza, Jason Terry","Away"
41400236,4,"09:59",2281,"LAC","Glen Davis","Blake Griffin",413,"Austin Rivers, Chris Paul, DeAndre Jordan, Glen Davis, Jamal Crawford","Austin Rivers, Chris Paul, DeAndre Jordan, Jamal Crawford, Blake Griffin","Home"
41400236,4,"08:51",2349,"LAC","Chris Paul","Matt Barnes",423,"Austin Rivers, Chris Paul, DeAndre Jordan, Jamal Crawford, Blake Griffin","Austin Rivers, DeAndre Jordan, Jamal Crawford, Blake Griffin, Matt Barnes","Home"
41400236,4,"08:51",2349,"LAC","Jamal Crawford","JJ Redick",424,"Austin Rivers, DeAndre Jordan, Jamal Crawford, Blake Griffin, Matt Barnes","Austin Rivers, DeAndre Jordan, Blake Griffin, Matt Barnes, JJ Redick","Home"
41400236,4,"08:51",2349,"HOU","Terrence Jones","Josh Smith",425,"Corey Brewer, Dwight Howard, Terrence Jones, Trevor Ariza, Jason Terry","Corey Brewer, Dwight Howard, Trevor Ariza, Jason Terry, Josh Smith","Away"
41400236,4,"07:29",2431,"LAC","Austin Rivers","Chris Paul",437,"Austin Rivers, DeAndre Jordan, Blake Griffin, Matt Barnes, JJ Redick","DeAndre Jordan, Blake Griffin, Matt Barnes, JJ Redick, Chris Paul","Home"
