"namePlayer","idGame","slugTeam","totalPlusMinus","totalSecs"
"JJ Redick","41400161","LAC",15,2134
"Josh Smith","41400314","HOU",15,1674
"Kevin Love","41400111","CLE",15,1996
"Klay Thompson","41400142","GSW",15,1958
"Klay Thompson","41400404","GSW",15,2346
"Kyrie Irving","41400112","CLE",15,2327
"Marc Gasol","41400171","MEM",15,2355
"Matthew Dellavedova","41400402","CLE",15,2547
"Mike Dunleavy","41400124","CHI",15,2068
"Mike Scott","41400203","ATL",15,980
"Patty Mills","41400161","SAS",15,636
"Pero Antic","41400302","ATL",15,768
"Shaun Livingston","41400315","GSW",15,1071
"Tony Snell","41400126","CHI",15,720
"Al Horford","41400206","ATL",14,2352
"Andre Iguodala","41400406","GSW",14,2181
"Blake Griffin","41400164","LAC",14,2573
"Derrick Rose","41400124","CHI",14,2364
"Doug McDermott","41400126","CHI",14,365
"Dwight Howard","41400236","HOU",14,2407
"Harrison Barnes","41400311","GSW",14,1976
"Harrison Barnes","41400313","GSW",14,1768
"Iman Shumpert","41400113","CLE",14,1237
"James Harden","41400232","HOU",14,2103
"Jerryd Bayless","41400123","MIL",14,877
"Jimmy Butler","41400124","CHI",14,2434
"JJ Redick","41400166","LAC",14,2334
"JJ Redick","41400234","LAC",14,1726
"John Wall","41400132","WAS",14,2386
"Kyrie Irving","41400304","CLE",14,1318
"Leandro Barbosa","41400312","GSW",14,881
"Mike Conley","41400173","MEM",14,1561
"Nazr Mohammed","41400126","CHI",14,402
"Paul Millsap","41400105","ATL",14,2481
"Stephen Curry","41400144","GSW",14,2294
"Stephen Curry","41400221","GSW",14,2256
"Stephen Curry","41400406","GSW",14,2586
"Timofey Mozgov","41400114","CLE",14,1645
"Tony Allen","41400222","MEM",14,2244
"Zach Randolph","41400222","MEM",14,2152
"Al Horford","41400101","ATL",13,2028
"Boris Diaw","41400165","SAS",13,1440
"DeMarre Carroll","41400105","ATL",13,2544
"Derrick Rose","41400121","CHI",13,1634
"Harrison Barnes","41400315","GSW",13,2071
"Jeff Teague","41400202","ATL",13,1994
"Joakim Noah","41400211","CHI",13,1728
"Josh Smith","41400154","HOU",13,1664
"Jrue Holiday","41400143","NOP",13,1008
"Kelly Olynyk","41400112","BOS",13,1259
"Kyle Korver","41400101","ATL",13,2232
"Kyle Korver","41400105","ATL",13,2415
"Leandro Barbosa","41400141","GSW",13,683
"Marco Belinelli","41400166","SAS",13,1337
"Matthew Dellavedova","41400403","CLE",13,2311
"Meyers Leonard","41400175","POR",13,1891
"Nikola Mirotic","41400126","CHI",13,457
"Norris Cole","41400143","NOP",13,1557
"O.J. Mayo","41400124","MIL",13,1410
"Pau Gasol","41400121","CHI",13,2171
"Paul Millsap","41400202","ATL",13,2292
"Stephen Curry","41400143","GSW",13,2631
"Taj Gibson","41400126","CHI",13,1556
"Timofey Mozgov","41400111","CLE",13,1362
"Tristan Thompson","41400113","CLE",13,1687
"Beno Udrih","41400223","MEM",12,938
"Blake Griffin","41400233","LAC",12,1846
"Chris Paul","41400166","LAC",12,2669
"Chris Paul","41400233","LAC",12,1389
"DeAndre Jordan","41400161","LAC",12,2303
"Draymond Green","41400143","GSW",12,2414
"Dwight Howard","41400151","HOU",12,1042
"Glen Davis","41400164","LAC",12,1155
"J.J. Barea","41400151","DAL",12,1311
"James Harden","41400237","HOU",12,2589
"James Harden","41400312","HOU",12,2459
"Jared Dudley","41400124","MIL",12,1732
"Jason Terry","41400236","HOU",12,1988
"Jason Terry","41400312","HOU",12,2116
"Jeff Teague","41400105","ATL",12,2233
"Jimmy Butler","41400122","CHI",12,2760
"JR Smith","41400113","CLE",12,2296
"Marcin Gortat","41400203","WAS",12,2050
"Matt Barnes","41400161","LAC",12,1944
"Mike Conley","41400171","MEM",12,1428
"Norris Cole","41400141","NOP",12,2014
"O.J. Mayo","41400125","MIL",12,1539
"Otto Porter Jr.","41400134","WAS",12,1562
"Trevor Ariza","41400153","HOU",12,2355
"Vince Carter","41400172","MEM",12,867
"Zach Randolph","41400175","MEM",12,2321
"Andre Iguodala","41400315","GSW",11,1811
"Austin Rivers","41400234","LAC",11,1459
"Corey Brewer","41400232","HOU",11,1793
"Corey Brewer","41400237","HOU",11,1373
"DeMarre Carroll","41400303","ATL",11,2457
"Draymond Green","41400406","GSW",11,2488
"Harrison Barnes","41400401","GSW",11,2354
"Jamal Crawford","41400167","LAC",11,1897
"James Jones","41400301","CLE",11,836
"Jason Terry","41400152","HOU",11,1429
"Jason Terry","41400314","HOU",11,1842
"Jimmy Butler","41400121","CHI",11,2088
"John Henson","41400123","MIL",11,2332
"Josh Smith","41400236","HOU",11,1558
"Klay Thompson","41400144","GSW",11,2160
"Klay Thompson","41400405","GSW",11,2405
"Leandro Barbosa","41400403","GSW",11,636
"LeBron James","41400112","CLE",11,2508
"Matthew Dellavedova","41400215","CLE",11,1083
"Nikola Mirotic","41400122","CHI",11,1341
"Otto Porter Jr.","41400201","WAS",11,2055
"Patty Mills","41400166","SAS",11,1071
"Stephen Curry","41400226","GSW",11,2320
"Stephen Curry","41400311","GSW",11,2365
"Timofey Mozgov","41400402","CLE",11,1760
"Trevor Ariza","41400236","HOU",11,2706
"Al Horford","41400105","ATL",10,2079
"Al Horford","41400204","ATL",10,2371
"Andre Iguodala","41400226","GSW",10,1788
"Courtney Lee","41400222","MEM",10,1965
"Danny Green","41400162","SAS",10,1765
"DeMarre Carroll","41400202","ATL",10,2293
"Derrick Rose","41400211","CHI",10,2314
"Draymond Green","41400311","GSW",10,2566
"Drew Gooden","41400201","WAS",10,847
"Ersan Ilyasova","41400125","MIL",10,1823
"Festus Ezeli","41400144","GSW",10,569
"Festus Ezeli","41400315","GSW",10,1707
"Jamal Crawford","41400231","LAC",10,1921
"James Jones","41400304","CLE",10,1176
"Jeff Teague","41400104","ATL",10,2322
"Jimmy Butler","41400211","CHI",10,2652
"JR Smith","41400111","CLE",10,1145
"JR Smith","41400112","CLE",10,2043
"Kent Bazemore","41400102","ATL",10,1010
"Kevin Love","41400113","CLE",10,2244
"Kyrie Irving","41400111","CLE",10,2434
"Manu Ginobili","41400163","SAS",10,1019
"Matthew Dellavedova","41400111","CLE",10,534
"Matthew Dellavedova","41400301","CLE",10,1485
"Mike Dunleavy","41400121","CHI",10,2075
"Mike Dunleavy","41400211","CHI",10,2349
"Mike Muscala","41400203","ATL",10,810
"Nene","41400131","WAS",10,1278
"Pablo Prigioni","41400311","HOU",10,898
"Pero Antic","41400101","ATL",10,1132
"Ramon Sessions","41400201","WAS",10,1047
"Shaun Livingston","41400314","GSW",10,974
"Terrence Jones","41400155","HOU",10,1696
"Terrence Jones","41400312","HOU",10,1584
"Tiago Splitter","41400167","SAS",10,1319
"Tony Allen","41400174","MEM",10,1981
"Tristan Thompson","41400403","CLE",10,2653
"Zach Randolph","41400171","MEM",10,2151
"Andrew Bogut","41400221","GSW",9,1453
"Aron Baynes","41400165","SAS",9,716
"Beno Udrih","41400172","MEM",9,1123
"Blake Griffin","41400166","LAC",9,2455
"Clint Capela","41400235","HOU",9,683
"Dante Cunningham","41400141","NOP",9,923
"DeMarre Carroll","41400103","ATL",9,1989
"Derrick Rose","41400213","CHI",9,2323
"Drew Gooden","41400203","WAS",9,855
"Harrison Barnes","41400404","GSW",9,1984
"James Harden","41400152","HOU",9,2045
"James Jones","41400303","CLE",9,1401
"Jarrett Jack","41400102","BKN",9,1714
"Jimmy Butler","41400215","CHI",9,2468
"Kent Bazemore","41400205","ATL",9,835
"Kevin Love","41400114","CLE",9,398
"Klay Thompson","41400315","GSW",9,1328
"Kosta Koufos","41400172","MEM",9,760
"Kyle Lowry","41400132","TOR",9,1642
"Leandro Barbosa","41400222","GSW",9,831
"Lester Hudson","41400232","LAC",9,631
"Marco Belinelli","41400165","SAS",9,972
